keyword,clicks,cost,transactions
&,1,5.36,0
10m,5,38.54,0
5m,23,185.38,0
a,39,81.46,0
actor,21,82.62,0
actors,27,44.28,0
actress,5,14.66,0
agent,15,74.37,0
architect,21,180.19000000000003,0
arts,930,4465.509999999999,0
author,20,63.32,0
band,48,208.97,0
bands,79,282.11,0
barber,10,28.76,0
barrister,15,37.32,0
broker,20,89.21,0
builder,1,4.31,0
builders,15,93.68999999999998,0
building,1,5.05,0
business,1,17.67,0
buy,1,2.65,0
cake,45,245.89999999999998,0
carpenter,1,3.04,0
carpenters,1,7.74,0
carpet,3,17.19,0
channel,258,590.01,0
cheapest,123,861.4,0
children's,17,29.37,0
childrens,100,253.04999999999998,0
class,27,59.64,0
cleaner,49,282.78000000000003,0
cleaners,18,73.22,0
cleaning,13,60.08,0
club,12,77.19,0
coach,22,56.74,0
comedian,23,60.41,0
commercial,19,76.17999999999999,0
company,27,156.37,0
compare,5,25.88,0
computer,1,1.48,0
construction,84,486.06,0
contractor,11,85.53,0
contractors,1,5.38,0
copywriter,6,23.08,0
costs,3,18.08,0
counsellor,56,171.57,0
coverage,1,4.53,0
craft,244,842.16,0
dance,116,319.6499999999999,0
data,27,102.48,0
decorator,14,70.29,0
decorators,28,137.57,0
design,6,23.6,0
designer,11,37.86,0
domestic,7,28.91,0
electrical,2,8.93,0
electricians,24,128.88,0
employees,12,64.3,0
engineer,19,88.71,0
engineering,9,48.35,0
engineers,13,74.3,0
entertainer,112,269.45,0
entertainers,5,12.97,0
erector,1,0.49,0
erectors,2,7.82,0
estate,15,74.37,0
europe,7,18.78,0
exporting,14,20.86,0
fitter,1,7.1,0
fitters,3,11.46,0
football,22,56.74,0
forwarder,2,5.9,0
forwarder's,2,6.14,0
furniture,47,182.5,0
garden,2,7.87,0
gas,20,104.78999999999999,0
get,7,39.24,0
glaziers,1,4.84,0
group,1,2.44,0
holders,49,200.79999999999998,0
home,2,4.72,0
how,7,39.24,0
indemnity,2,16.44,0
instructor,161,661.08,0
instructors,48,183.75,0
insuring,3,5.42,0
interior,13,47.650000000000006,0
islands,258,590.01,0
it,11,85.53,0
joiner,1,5.93,0
joiners,1,4.36,0
joinery,5,14.0,0
land,1,2.35,0
lawyer,1,4.75,0
lawyers,16,48.28,0
legal,2,3.41,0
limited,1,11.82,0
london,13,49.23,0
maker,26,134.06,0
makers,8,58.39,0
marin,1,2.76,0
market,658,3166.57,0
marketing,1,3.4,0
markets,4,18.85,0
martial,930,4465.509999999999,0
masonry,8,16.86,0
mixed,8,36.14,0
musician,35,190.21,0
musicians,63,307.56,0
outside,15,24.74,0
painter,47,157.00000000000003,0
painters,32,153.03,0
party,17,29.37,0
pl,1,4.99,0
plasterer,2,8.600000000000001,0
plasterers,9,38.21,0
plumber,9,59.209999999999994,0
plumbers,35,175.64,0
pound,13,93.84,0
prices,2,8.53,0
processor,27,102.48,0
professional,2,16.44,0
programmer,1,1.48,0
providers,2,9.18,0
publisher,36,85.08000000000001,0
quantity,2,7.99,0
school,16,67.41,0
shipments,2,3.7,0
sign,3,8.31,0
sports,29,97.7,0
stall,321,1069.2700000000002,0
stallholder,11,27.63,0
stallholders,69,245.86,0
stalls,119,458.90000000000003,0
stonemason,1,0.19,0
student,4,20.49,0
students,22,123.06,0
surveyor,22,96.57,0
surveyors,16,79.86,0
teacher,13,42.58,0
teachers,38,107.64999999999999,0
the,15,24.74,0
therapist,181,541.66,0
to,29,82.76,0
trader,232,1255.3299999999997,0
tradesman,5,32.16,0
trading,2,11.93,0
transport,2,8.7,0
union,1,8.17,0
web,1,3.4,0
website,2,5.9399999999999995,0
window,15,57.31,0
worker,8,32.88,0
