keyword_phrases,clicks,cost,transactions,bounce_rate
vehicle shipping insurance,15,56.68,4,24%
vehicle export insurance,112,259.92,2,83%
uk freight insurance,9,29.87,3,50%
shipping insurance uk,135,409.19,21,35%
shipping insurance quotes,1,1.96,1,0%
shipping insurance quote,5,12.2,2,20%
shipping insurance container,4,22.85,1,25%
shipping insurance,1582,6515.15,222,45%
shipping container insurance uk,6,16.18,3,0%
shipping container insurance,38,106.86,7,37%
shipment insurance,105,269.22,15,48%
shipment cover,16,56.57,2,65%
sea freight insurance,55,339.56,12,42%
public liability self employed,33,240.96,1,42%
public liability insurance 10 million,71,339.22,2,50%
public and employers liability,3,10.96,1,75%
overseas removals insurance,14,43.92,3,20%
ocean freight insurance,4,15.17,1,0%
marine transit insurance quote,2,6.92,1,0%
marine transit insurance for household goods,10,60.6,3,30%
marine transit insurance,25,115.12,6,75%
marine shipping insurance,17,63.74,3,19%
marine liability insurance,35,190.62,2,84%
marine insurance vehicles,1,3.41,1,0%
marine insurance uk,14,85.13,2,33%
marine insurance shipping household goods,2,9.85,1,0%
marine insurance shipping,5,21.0,1,38%
marine insurance quote online,4,12.01,2,25%
marine insurance quote,12,68.37,5,0%
marine insurance policy,12,48.48,1,50%
marine insurance for cargo,2,7.42,1,0%
marine insurance for car shipping,8,17.87,1,25%
marine insurance companies,25,140.36,1,36%
marine insurance car shipping,5,14.86,1,50%
marine insurance brokers,38,204.95,4,60%
marine insurance,1544,9967.61,108,57%
marine freight insurance,10,25.76,1,38%
marine cargo insurance uk,10,34.79,3,50%
marine cargo insurance quote online,2,27.52,1,0%
marine cargo insurance quote,2,25.27,1,0%
marine cargo insurance,199,1362.7,26,42%
international shipping insurance uk,16,51.91,2,19%
international shipping insurance companies,1,5.51,1,0%
international shipping insurance,16,60.42,5,33%
international shipment insurance,3,7.12,1,0%
international removals insurance,91,385.55,23,32%
international removal insurance,7,37.67,2,38%
international freight insurance,4,12.38,2,25%
insurance shipping personal effects,7,21.22,3,0%
insurance for sole traders,24,157.23,2,57%
insurance for shipping goods overseas,33,125.46,9,27%
insurance for shipping goods,16,49.42,3,41%
insurance for shipping container,2,7.95,1,0%
insurance for shipping,6,33.87,1,50%
insurance for container shipping,1,2.61,1,0%
insurance cargo,13,38.52,2,37%
household goods shipping insurance,4,9.71,2,0%
freight insurance quote,20,48.62,6,18%
freight forwarding insurance,25,97.48,2,63%
freight forwarders liability insurance,1,2.13,1,0%
freight forwarders insurance,53,264.77,6,63%
freight container insurance,2,7.84,1,0%
export insurance uk car,183,329.94,1,68%
employers liability insurance,5,21.97,1,60%
cost of marine insurance,7,38.51,2,0%
container shipping insurance,15,40.04,5,14%
cheap freight insurance,1,2.67,1,0%
cargo ship insurance,4,20.2,1,70%
cargo insurance uk,54,165.04,9,50%
cargo insurance,459,1547.48,44,48%
cargo cover,79,201.61,1,84%
car shipping insurance,50,125.73,7,48%
car marine insurance,17,54.54,4,10%
car export insurance,873,1936.76,14,64%
air freight insurance,61,177.5,5,49%
air cargo insurance,6,14.22,2,80%
5 million public liability insurance,29,182.66,1,70%
2 million public liability insurance,35,182.56,1,65%
