keyword 1,2848,8661,32.88%,2.56
keyword 2,1162,3580,32.46%,1.04
keyword 3,675,2796,24.14%,1
keyword 4,602,1866,32.26%,2.24
keyword 5,199,835,23.83%,1.92
keyword 6,198,672,29.46%,1.01
keyword 7,184,1025,17.95%,1.77
marine cargo insurance cover,148,601,24.63%,1
freight insurance,124,2121,5.85%,7.34
maritime insurance,110,323,34.06%,1.12
electrical public liability insurance,106,810,13.09%,3.29
freight forwarders insurance liability,100,369,27.10%,1.02
insurance dance instructors,98,302,32.45%,1
insurance gas fitters,97,286,33.92%,1
it contractor public liability,96,278,34.53%,1.06
liability insurance barrister,92,773,11.90%,3.61
liability insurance data processor,89,166,53.61%,1
liability insurance electricians,88,402,21.89%,2.47
liability insurance publisher,87,221,39.37%,1
marine insurance cover,75,490,15.31%,2.07
dance instructor insurance,71,211,33.65%,1.08
keyword 8,70,477,14.68%,2.77
keyword 9,70,213,32.86%,1.25
keyword 10,66,512,12.89%,3.37
keyword 11,63,159,39.62%,1
keyword 12,61,167,36.53%,1.23
keyword 13,54,308,17.53%,2.97
keyword 14,53,636,8.33%,3.86
keyword 15,53,191,27.75%,1.82
keyword 16,52,116,44.83%,1.05
keyword 17,51,386,13.21%,1.23
keyword 18,51,259,19.69%,2.29
keyword 19,50,164,30.49%,2.63
